product_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,state,property_valuation,product_age,transaction_month,age_band
2,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Male,19,Financial Services,Mass Customer,N,Yes,10.0,VIC,6,5,2,old
1,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,Male,19,Financial Services,Mass Customer,N,Yes,10.0,VIC,6,14,10,old
62,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,Male,19,Financial Services,Mass Customer,N,Yes,10.0,VIC,6,7,4,old
3,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,3,5,young_adults
4,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,6,10,young_adults
91,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,13,10,young_adults
95,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,23,1,young_adults
38,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,24,1,young_adults
41,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,3,12,young_adults
10,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,Female,89,Health,Mass Customer,N,Yes,10.0,NSW,5,13,10,young_adults
37,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,18,10,young_adults
47,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,11,11,young_adults
